FORMATO DE REPORTE DE NOVEDADES SEMANALES Y ACTUALIZACIÓN DE CUPOS - 2026;;;;;;;;;;;
;;;;;;;;;;;
INSTITUCIÓN EDUCATIVA;TIPO DE COMPLEMENTO;;;;;;;;;;
I.E ANA GOMEZ DE SIERRA;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;SIMAT 04 FEBRERO;;;
SEXTO 5;;;;;;;;;;;
SÉPTIMO 1;;;;37;;;;;;;
SÉPTIMO 2;;;;31;;;;;;;
SÉPTIMO 3;;;;31;;;;;;;
SÉPTIMO 4;;;;31;;;;;;;
SÉPTIMO 5;;;;;;;;;;;
OCTAVO 1;;;;26;;;;;;;
OCTAVO 2;;;;31;;;;;;;
OCTAVO 3;;;;19;;;;;;;
OCTAVO 4;;;;24;;;;;;;
NOVENO 1;;;;27;;;;;;;
NOVENO 2;;;;25;;;;;;;
NOVENO 3;;;;31;;;;;;;
NOVENO 4;;;;26;;;;;;;
DÉCIMO 1;;;;29;;;;;;;
DÉCIMO 2;;;;31;;;;;;;
DÉCIMO 3;;;;32;;;;;;;
ONCE 1;;;;30;;;;;;;
ONCE 2;;;;29;;;;;;;
ONCE 3;;;;24;;;;;;;
M.T. EN MERCADOTECNIA;;;;;;;;;;;
M.T. EN MANTENIMIENTO Y REPARACION DE MOTOS GRADO 10;;;;;;;;;;;
M.T. EN MANTENIMIENTO Y REPARACION DE MOTOS GRADO 11;;;;;;;;;;;
M.T. EN COMERCIO INTERNACIONAL;0;;;;;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;0;0;784;649;0;0;;1441;;;
I.E. SAN ANTONIO;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
PREJARDIN;;;18;;;;;;;;
JARDIN;;;16;;;;;;;;
TRANSICIÓN 1;;;31;;;;;;;;
TRANSICIÓN 2;;;7;;;;;;;;
PRIMERO 1;;;30;;30;;;;;;
PRIMERO 2;;;30;;30;;;;;;
SEGUNDO 1;;;30;;30;;;;;;
SEGUNDO 2;;;29;;29;;;;;;
TERCERO 1;;;30;;30;;;;;;
TERCERO 2;;;31;;31;;;;;;
CUARTO 1;;;37;;37;;;;;;
CUARTO 2;;;38;;38;;;;;;
QUINTO 1;;;35;;35;;;;;;
QUINTO 2;;;29;;29;;;;;;
SEXTO 1;;;15;;20;;;;;;
SEXTO 2;;;15;;25;;;;;;
SEXTO 3;;;15;;25;;;;;;
SÉPTIMO 1;;;15;;25;;;;;;
SÉPTIMO 2;;;15;;20;;;;;;
SÉPTIMO 3;;;15;;20;;;;;;
OCTAVO 1;;;15;;15;;;;;;
OCTAVO 2;;;15;;15;;;;;;
NOVENO 1;;;15;;15;;;;;;
NOVENO 2;;;15;;15;;;;;;
DÉCIMO 1;;;15;;20;;;;;;
DÉCIMO 2;;;15;;20;;;;;;
UNDÉCIMO 1;;;15;;20;;;;;;
UNDÉCIMO 2;;;15;;20;;;;;;
TOTAL COMPREMENTOS A ENTREGAR;0;0;601;0;594;0;;821;;;
SEDE SANTA TERESA;RI / AM;RI / PM;CAJM;CAJT;ALMUERZO;MEDIA TÉCNICA;NOVEDAD;;;;
SEGUNDO ;;;1;;1;;;;;;
TERCERO;;;2;;2;;;;;;
CUARTO;;;4;;4;;;;;;
